,Coefficients
original_shape_Compactness2,-0.10742860920560542
wavelet-LHL_glcm_InverseVariance,-0.0718817763497955
wavelet-LHH_firstorder_Kurtosis,-0.06825479277988689
wavelet-LHH_firstorder_Mean,-0.03460336937112578
exponential_glszm_SmallAreaLowGrayLevelEmphasis,-0.030889605906435275
squareroot_glrlm_LongRunLowGrayLevelEmphasis,-0.020860507822161183
wavelet-HHL_firstorder_Kurtosis,-0.01559387329597151
exponential_glszm_SmallAreaEmphasis,-0.013862407409831795
wavelet-HLL_glszm_SizeZoneNonUniformityNormalized,-0.013301174043005808
wavelet-HHL_glcm_MaximumProbability,-0.010520160168482257
wavelet-HLH_firstorder_Median,-0.010065174542682749
wavelet-HHH_firstorder_Skewness,-0.008420185245360756
wavelet-LHH_glcm_ClusterShade,-0.0013921151960979512
wavelet-LHH_firstorder_Skewness,-0.0011702966125423648
original_shape_Elongation,0.007603107369916869
wavelet-HLL_firstorder_Mean,0.00797335134493763
wavelet-LLH_glcm_Imc1,0.01387513837560474
exponential_firstorder_Minimum,0.022173901741473996
wavelet-HHL_glcm_InverseVariance,0.027059241588641248
wavelet-LLH_firstorder_Skewness,0.028776919638343928
wavelet-HHH_glcm_Autocorrelation,0.02987643557587383
wavelet-HHL_glszm_GrayLevelNonUniformity,0.05024602061522119
exponential_firstorder_Kurtosis,0.05148007270908853
original_shape_LeastAxis,0.09656333092096411
logarithm_glrlm_GrayLevelNonUniformity,0.13080598287012957
intercept(non-feature),0.43434343434343414
